name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_41,44.0,41.0,tmx,2,4,19.233793258666992,1.3390100002288818,0.0245068632066249
44_41,44.0,41.0,tmx,2,5,22.13164520263672,1.477804183959961,0.901462972164154
44_41,44.0,41.0,tmx,2,6,22.382871627807617,1.494438648223877,0.1562510430812835
44_41,44.0,41.0,tmx,3,0,4.200809955596924,2.4296507835388184,0.2688401043415069
44_41,44.0,41.0,tmx,3,1,9.493905067443848,2.1031343936920166,0.9055399298667908
44_41,44.0,41.0,tmx,3,2,15.28533935546875,1.5791863203048706,0.1482055783271789
44_41,44.0,41.0,tmx,3,3,19.2154541015625,1.3083419799804688,0.0245068632066249
44_41,44.0,41.0,tmx,3,4,22.21858787536621,1.3792164325714111,0.901462972164154
44_41,44.0,41.0,tmx,3,5,22.471311569213867,1.483007788658142,0.1562510430812835
44_41,44.0,41.0,tmx,3,6,19.13219451904297,1.56547749042511,0.477887213230133
44_41,44.0,41.0,tmx,4,0,10.248287680726358,1.7704461668266696,0.9055399298667908
44_41,44.0,41.0,tmx,4,1,15.57291661823338,1.5885274151038935,0.1482055783271789
44_41,44.0,41.0,tmx,4,2,19.52994932126463,1.4619965204012642,0.0245068632066249
44_41,44.0,41.0,tmx,4,3,22.491451673156167,1.5554810842445566,0.901462972164154
44_41,44.0,41.0,tmx,4,4,22.73313443876079,1.5759388804496512,0.1562510430812835
44_41,44.0,41.0,tmx,4,5,19.324101280507172,1.6500977660144918,0.477887213230133
44_41,44.0,41.0,tmx,4,6,13.737927803236996,1.9269420113066875,0.1103777289390564
44_41,44.0,41.0,tmx,5,0,15.40564250946045,1.3080381155014038,0.1482055783271789
44_41,44.0,41.0,tmx,5,1,19.36125946044922,1.2883254289627075,0.0245068632066249
44_41,44.0,41.0,tmx,5,2,22.59750747680664,1.391893982887268,0.901462972164154
44_41,44.0,41.0,tmx,5,3,22.93298721313477,1.5290945768356323,0.1562510430812835
44_41,44.0,41.0,tmx,5,4,19.409143447875977,1.6587421894073486,0.477887213230133
44_41,44.0,41.0,tmx,5,5,13.660116195678713,1.8321243524551392,0.1103777289390564
44_41,44.0,41.0,tmx,5,6,5.564741134643555,2.392661094665528,0.4940537512302398
