name,lon,lat,variable,initmonth,leadtime,alpha,loc,scale,pzero,pval
44_43,44.0,43.0,tp,9,2,3.7811939205282425,0.0,17.40111882188656,0.0,0.9264306084243368
44_43,44.0,43.0,tp,9,3,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,9,4,5.050654949651638,0.0,9.369775218989794,0.0,0.9456175336243372
44_43,44.0,43.0,tp,9,5,8.550796697951226,0.0,6.093759512578104,0.0,0.5527025924063332
44_43,44.0,43.0,tp,9,6,7.8739242395101074,0.0,12.911605169552995,0.0,0.6992099691362476
44_43,44.0,43.0,tp,10,0,8.825281130074908,0.0,12.132644379188152,0.0,0.4889200312941524
44_43,44.0,43.0,tp,10,1,3.7811939205282425,0.0,17.40111882188656,0.0,0.9264306084243368
44_43,44.0,43.0,tp,10,2,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,10,3,5.050654949651638,0.0,9.369775218989794,0.0,0.9456175336243372
44_43,44.0,43.0,tp,10,4,8.550796697951226,0.0,6.093759512578104,0.0,0.5527025924063332
44_43,44.0,43.0,tp,10,5,7.8739242395101074,0.0,12.911605169552995,0.0,0.6992099691362476
44_43,44.0,43.0,tp,10,6,15.99961746824239,0.0,9.90595563731956,0.0,0.8400483834645668
44_43,44.0,43.0,tp,11,0,3.7811939205282425,0.0,17.40111882188656,0.0,0.9264306084243368
44_43,44.0,43.0,tp,11,1,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,11,2,5.050654949651638,0.0,9.369775218989794,0.0,0.9456175336243372
44_43,44.0,43.0,tp,11,3,8.550796697951226,0.0,6.093759512578104,0.0,0.5527025924063332
44_43,44.0,43.0,tp,11,4,7.8739242395101074,0.0,12.911605169552995,0.0,0.6992099691362476
44_43,44.0,43.0,tp,11,5,15.99961746824239,0.0,9.90595563731956,0.0,0.8400483834645668
44_43,44.0,43.0,tp,11,6,15.567401663340387,0.0,15.174481538675682,0.0,0.6264958558431617
44_43,44.0,43.0,tp,12,0,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,12,1,5.050654949651638,0.0,9.369775218989794,0.0,0.9456175336243372
44_43,44.0,43.0,tp,12,2,8.550796697951226,0.0,6.093759512578104,0.0,0.5527025924063332
44_43,44.0,43.0,tp,12,3,7.8739242395101074,0.0,12.911605169552995,0.0,0.6992099691362476
44_43,44.0,43.0,tp,12,4,15.99961746824239,0.0,9.90595563731956,0.0,0.8400483834645668
44_43,44.0,43.0,tp,12,5,15.567401663340387,0.0,15.174481538675682,0.0,0.6264958558431617
44_43,44.0,43.0,tp,12,6,22.327933506073776,0.0,12.808911353945732,0.0,0.7759774803602186
45_40,45.0,40.0,tp,1,0,3.5507607879420893,0.0,12.63898213564478,0.0,0.3319401103723068
45_40,45.0,40.0,tp,1,1,4.038096316769409,0.0,14.227992071852292,0.0,0.8719985802736205
45_40,45.0,40.0,tp,1,2,8.446332628972597,0.0,9.83290684861737,0.0,0.4207399392569068
45_40,45.0,40.0,tp,1,3,12.679932102436478,0.0,8.29716621686366,0.0,0.4846114245233252
45_40,45.0,40.0,tp,1,4,14.01287969997953,0.0,7.47182317839579,0.0,0.6604138691225039
45_40,45.0,40.0,tp,1,5,4.542961251959255,0.0,16.15493651386525,0.0,0.5781154260884316
45_40,45.0,40.0,tp,1,6,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,2,0,4.038096316769409,0.0,14.227992071852292,0.0,0.8719985802736205
45_40,45.0,40.0,tp,2,1,8.446332628972597,0.0,9.83290684861737,0.0,0.4207399392569068
45_40,45.0,40.0,tp,2,2,12.679932102436478,0.0,8.29716621686366,0.0,0.4846114245233252
45_40,45.0,40.0,tp,2,3,14.01287969997953,0.0,7.47182317839579,0.0,0.6604138691225039
45_40,45.0,40.0,tp,2,4,4.542961251959255,0.0,16.15493651386525,0.0,0.5781154260884316
45_40,45.0,40.0,tp,2,5,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,2,6,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,3,0,8.446332628972597,0.0,9.83290684861737,0.0,0.4207399392569068
45_40,45.0,40.0,tp,3,1,12.679932102436478,0.0,8.29716621686366,0.0,0.4846114245233252
45_40,45.0,40.0,tp,3,2,14.01287969997953,0.0,7.47182317839579,0.0,0.6604138691225039
45_40,45.0,40.0,tp,3,3,4.542961251959255,0.0,16.15493651386525,0.0,0.5781154260884316
45_40,45.0,40.0,tp,3,4,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,3,5,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,3,6,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
45_40,45.0,40.0,tp,4,0,12.679932102436478,0.0,8.29716621686366,0.0,0.4846114245233252
45_40,45.0,40.0,tp,4,1,14.01287969997953,0.0,7.47182317839579,0.0,0.6604138691225039
45_40,45.0,40.0,tp,4,2,4.542961251959255,0.0,16.15493651386525,0.0,0.5781154260884316
45_40,45.0,40.0,tp,4,3,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,4,4,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,4,5,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
45_40,45.0,40.0,tp,4,6,5.067252754785063,0.0,10.24647868530747,0.0,0.9329572691071444
45_40,45.0,40.0,tp,5,0,14.01287969997953,0.0,7.47182317839579,0.0,0.6604138691225039
45_40,45.0,40.0,tp,5,1,4.542961251959255,0.0,16.15493651386525,0.0,0.5781154260884316
45_40,45.0,40.0,tp,5,2,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,5,3,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,5,4,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
45_40,45.0,40.0,tp,5,5,5.067252754785063,0.0,10.24647868530747,0.0,0.9329572691071444
45_40,45.0,40.0,tp,5,6,2.064895870593196,0.0,24.99896069193795,0.0,0.5573953187848413
45_40,45.0,40.0,tp,6,0,4.542961251959255,0.0,16.15493651386525,0.0,0.5781154260884316
45_40,45.0,40.0,tp,6,1,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,6,2,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,6,3,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
45_40,45.0,40.0,tp,6,4,5.067252754785063,0.0,10.24647868530747,0.0,0.9329572691071444
45_40,45.0,40.0,tp,6,5,2.064895870593196,0.0,24.99896069193795,0.0,0.5573953187848413
45_40,45.0,40.0,tp,6,6,2.769393831624175,0.0,17.413196517143763,0.0,0.7610653918297894
45_40,45.0,40.0,tp,7,0,4.580284786696312,0.0,14.21942269207794,0.0,0.7343440793314737
45_40,45.0,40.0,tp,7,1,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,7,2,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
45_40,45.0,40.0,tp,7,3,5.067252754785063,0.0,10.24647868530747,0.0,0.9329572691071444
45_40,45.0,40.0,tp,7,4,2.064895870593196,0.0,24.99896069193795,0.0,0.5573953187848413
45_40,45.0,40.0,tp,7,5,2.769393831624175,0.0,17.413196517143763,0.0,0.7610653918297894
45_40,45.0,40.0,tp,7,6,3.5507607879420893,0.0,12.63898213564478,0.0,0.3319401103723068
45_40,45.0,40.0,tp,8,0,3.508268270868492,0.0,13.465688891795558,0.0,0.9168604475198336
45_40,45.0,40.0,tp,8,1,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
45_40,45.0,40.0,tp,8,2,5.067252754785063,0.0,10.24647868530747,0.0,0.9329572691071444
45_40,45.0,40.0,tp,8,3,2.064895870593196,0.0,24.99896069193795,0.0,0.5573953187848413
45_40,45.0,40.0,tp,8,4,2.769393831624175,0.0,17.413196517143763,0.0,0.7610653918297894
45_40,45.0,40.0,tp,8,5,3.5507607879420893,0.0,12.63898213564478,0.0,0.3319401103723068
45_40,45.0,40.0,tp,8,6,4.038096316769409,0.0,14.227992071852292,0.0,0.8719985802736205
45_40,45.0,40.0,tp,9,0,2.7937693685681566,0.0,9.707852165749427,0.0,0.9160262654140214
